id,id_oprema,id_osoblje_na_misiji,izdana_kolicina
5001,1311,4002,1
5003,1303,4004,1
5005,1318,4006,1
5007,1358,4008,1
5009,1362,4010,1
5011,1315,4012,1
5013,1328,4014,1
5015,1348,4016,1
5017,1341,4018,1
5019,1310,4020,1
5021,1315,4022,1
5023,1320,4024,1
5025,1339,4026,1
5027,1325,4028,1
5029,1327,4030,1
5031,1324,4032,1
5033,1303,4034,1
5035,1325,4036,1
5037,1359,4038,1
5039,1305,4040,1
5041,1315,4042,1
5043,1353,4044,1
5045,1310,4046,1
5047,1311,4048,1
5049,1337,4050,1
5051,1325,4052,1
5053,1306,4054,1
5055,1346,4056,1
5057,1341,4058,1
5059,1363,4060,1
5061,1344,4062,1
5063,1345,4064,1
5065,1313,4066,1
5067,1342,4068,1
5069,1317,4070,1
5071,1360,4072,1
5073,1358,4074,1
5075,1356,4076,1
5077,1341,4078,1
5079,1326,4080,1
5081,1301,4082,1
5083,1325,4084,1
5085,1360,4086,1
5087,1323,4088,1
5089,1334,4090,1
5091,1312,4092,1
5093,1335,4094,1
5095,1327,4096,1
5097,1360,4098,1
5099,1315,4000,1
5101,1317,4002,1
5103,1363,4004,1
5105,1325,4006,1
5107,1356,4008,1
5109,1359,4010,1
5111,1322,4012,1
5113,1332,4014,1
5115,1351,4016,1
5117,1337,4018,1
5119,1362,4020,1
5121,1317,4022,1
5123,1323,4024,1
5125,1352,4026,1
5127,1344,4028,1
5129,1321,4030,1
5131,1301,4032,1
5133,1318,4034,1
5135,1315,4036,1
5137,1360,4038,1
5139,1309,4040,1
5141,1358,4042,1
5143,1337,4044,1
5145,1349,4046,1
5147,1305,4048,1
5149,1344,4050,1
5151,1350,4052,1
5153,1328,4054,1
5155,1351,4056,1
5157,1310,4058,1
5159,1332,4060,1
5161,1316,4062,1
5163,1326,4064,1
5165,1339,4066,1
5167,1314,4068,1
5169,1362,4070,1
5171,1312,4072,1
5173,1325,4074,1
5175,1349,4076,1
5177,1349,4078,1
5179,1323,4080,1
5181,1337,4082,1
5183,1328,4084,1
5185,1331,4086,1
5187,1311,4088,1
5189,1355,4090,1
5191,1354,4092,1
5193,1340,4094,1
5195,1358,4096,1
5197,1321,4098,1
5199,1324,4000,1
