id,id_osoblje,id_trening,performans
1201,10893,1162,1
1202,10453,1169,6
1203,10887,1195,9
1204,10595,1199,3
1205,10875,1129,3
1206,10862,1154,1
1207,10879,1174,6
1208,10430,1130,5
1209,10718,1112,7
1210,10518,1139,5
1211,10684,1198,6
1212,10286,1122,7
1213,10625,1169,2
1214,10956,1148,3
1215,10692,1199,8
1216,10854,1178,2
1217,10061,1166,10
1218,10601,1162,1
1219,10809,1132,3
1220,10082,1167,5
1221,10520,1177,3
1222,10782,1164,9
1223,10805,1182,10
1224,10287,1110,7
1225,10580,1122,6
1226,10570,1183,1
1227,10534,1104,2
1228,10849,1134,5
1229,10996,1113,2
1230,10420,1128,1
1231,10751,1198,4
1232,10217,1177,1
1233,10834,1128,5
1234,10149,1179,6
1235,10803,1113,4
1236,10826,1140,1
1237,10756,1185,10
1238,10143,1132,7
1239,10511,1101,7
1240,10138,1174,1
1241,10864,1148,4
1242,10193,1167,5
1243,10802,1137,8
1244,10129,1138,9
1245,10650,1100,10
1246,10787,1159,4
1247,10643,1106,6
1248,10254,1178,8
1249,10364,1126,2
1250,10408,1154,8
1251,10090,1132,7
1252,10127,1183,3
1253,10462,1109,9
1254,10220,1135,10
1255,10524,1129,1
1256,10198,1129,4
1257,10859,1199,7
1258,10834,1100,6
1259,10857,1106,4
1260,10640,1177,9
1261,10855,1186,2
1262,10435,1159,4
1263,10450,1142,5
1264,10425,1100,5
1265,10026,1154,8
1266,10975,1161,10
1267,10102,1127,1
1268,10200,1172,4
1269,10049,1174,7
1270,10202,1144,3
1271,10575,1165,10
1272,10433,1107,9
1273,10514,1145,6
1274,10655,1131,4
1275,10158,1108,6
1276,10200,1177,10
1277,10390,1145,9
1278,10454,1175,10
1279,10294,1128,2
1280,10401,1153,5
1281,10111,1197,9
1282,10396,1174,2
1283,10138,1198,9
1284,10739,1161,8
1285,10200,1167,4
1286,10007,1137,9
1287,10546,1188,5
1288,10783,1153,8
1289,10422,1100,9
1290,10519,1129,1
1291,10481,1107,9
1292,10260,1164,10
1293,10006,1193,2
1294,10613,1108,7
1295,10453,1148,10
1296,10286,1175,8
1297,10347,1104,10
1298,10881,1165,4
1299,10249,1170,6
1300,10569,1138,9
