id,id_vozilo,kolicina,id_misija
9000,2020,6,3019
9001,2016,6,3005
9002,2006,5,3033
9003,2006,1,3047
9004,2001,1,3002
9005,2019,1,3022
9006,2012,2,3043
9007,2000,1,3010
9008,2016,4,3009
9009,2005,5,3012
9010,2014,2,3048
9011,2013,2,3027
9012,2006,2,3051
9013,2018,1,3018
9014,2013,3,3003
9015,2020,3,3045
9016,2018,3,3006
9017,2004,6,3029
9018,2004,7,3045
9019,2000,2,3013
9020,2011,6,3052
9021,2001,2,3016
9022,2010,6,3007
9023,2007,3,3049
9024,2012,5,3021
9025,2020,4,3001
9026,2005,5,3021
9027,2006,6,3015
9028,2002,7,3020
9029,2019,4,3023
