id,id_vozilo,id_tura,id_odgovorni,kolicina
7001,2007,10,8052,1
7002,2001,10,8044,9
7003,2013,5,8002,7
7004,2016,12,8020,4
7005,2003,5,8074,9
7006,2019,4,8061,17
7007,2015,9,8046,4
7008,2007,3,8036,9
7009,2005,10,8084,3
7010,2000,6,8003,6
7011,2012,6,8064,8
7012,2019,4,8034,10
7013,2013,12,8095,8
7014,2000,13,8048,7
7015,2004,10,8079,12
7016,2020,5,8065,1
7017,2008,13,8035,4
7018,2000,14,8070,12
7019,2009,7,8025,12
7020,2012,5,8075,8
7021,2017,7,8072,11
7022,2011,8,8016,17
7023,2020,10,8069,10
7024,2008,4,8034,10
7025,2004,3,8021,13
7026,2008,7,8005,2
7027,2004,14,8098,4
7028,2005,11,8027,4
7029,2008,8,8035,2
7030,2009,4,8068,6
